"","risk_id","status_id","first_name","last_name","age","gender","email"
"1",13,2484,"Moncler","Sputnik",55,"female","pseudo@verizon.net"
"2",8,1482,"Versace","Cartier",74,"other","real@email.com"
"3",11,1057,"CanadaGoose","Sputnik",4,"other","fake@hotmail.com"
"4",11,1111,"Burberry","Margiela",68,"other","realReal@email.edu"
"5",11,2830,"Versace","Cartier",70,"other","fake@sputnik.net"
"6",4,422,"CanadaGoose","theNorthFace",13,"female","fake@illinois.edu"
"7",1,1721,"Vetements","Prada",86,"male","pseudo@illinois.edu"
"8",2,2561,"RalphLauren","yvesSaintLauren",99,"male","fake@sputnik.net"
"9",10,1704,"RalphLauren","theNorthFace",69,"female","realReal@email.edu"
"10",17,2516,"Burberry","Fendi",42,"female","fake@gmail.com"
"11",19,2437,"Moncler","theNorthFace",16,"other","fake@illinois.edu"
"12",6,127,"Maharishi","theNorthFace",38,"female","fake@illinois.edu"
"13",5,1897,"Givenchy","Chanel",33,"other","pseudo@illinois.edu"
"14",12,1260,"Bape","theNorthFace",35,"other","pseudo@email.edu"
"15",14,706,"Versace","Balmain",83,"male","pseudo@illinois.edu"
"16",7,1236,"Burberry","Cartier",56,"female","fake@hotmail.com"
"17",3,2446,"RalphLauren","Fendi",58,"other","fake@illinois.edu"
"18",19,2526,"Armani","Chanel",21,"other","fake@sputnik.net"
"19",15,1013,"Versace","Margiela",50,"male","fake@gmail.com"
"20",5,1253,"CanadaGoose","GoldenGooseDeluxe",68,"female","realReal@email.edu"
"21",3,256,"Versace","Sputnik",7,"male","fake@illinois.edu"
"22",4,267,"RalphLauren","yvesSaintLauren",48,"female","pseudo@illinois.edu"
"23",18,65,"Moncler","Fendi",100,"female","real@email.com"
"24",13,1573,"Versace","Sputnik",66,"female","fake@hotmail.com"
"25",2,208,"Bape","theNorthFace",100,"male","fake@hotmail.com"
"26",8,2659,"Armani","Fendi",29,"female","fake@gmail.com"
"27",9,2406,"CanadaGoose","GoldenGooseDeluxe",14,"female","pseudo@email.edu"
"28",4,94,"Burberry","Chanel",68,"male","pseudo@verizon.net"
"29",9,1944,"Bape","Sputnik",85,"male","fake@hotmail.com"
"30",18,1737,"Moncler","theNorthFace",6,"female","pseudo@hotmail.com"
"31",5,769,"Armani","GoldenGooseDeluxe",68,"male","fake@gmail.com"
"32",15,1193,"Moncler","theNorthFace",96,"male","fake@sputnik.net"
"33",8,741,"Vetements","Prada",50,"male","pseudo@verizon.net"
"34",15,2853,"CanadaGoose","yvesSaintLauren",79,"male","pseudo@hotmail.com"
"35",9,758,"Vetements","Cartier",55,"male","pseudo@verizon.net"
"36",20,83,"CanadaGoose","Chanel",37,"male","real@email.com"
"37",10,2635,"RalphLauren","Cartier",36,"other","pseudo@illinois.edu"
"38",4,1639,"RalphLauren","Prada",55,"other","real@email.com"
"39",4,2436,"Versace","theNorthFace",21,"female","real@email.com"
"40",4,1767,"Armani","Prada",98,"male","fake@hotmail.com"
"41",17,2309,"Moncler","Chanel",88,"female","realReal@email.edu"
"42",7,138,"Burberry","Balmain",45,"other","fake@sputnik.net"
"43",12,1488,"Maharishi","Prada",44,"female","pseudo@email.edu"
"44",20,2159,"Givenchy","Margiela",2,"male","fake@sputnik.net"
"45",11,670,"Versace","Fendi",49,"other","pseudo@email.edu"
"46",3,892,"Moncler","yvesSaintLauren",4,"female","fake@illinois.edu"
"47",3,2686,"Givenchy","theNorthFace",4,"other","pseudo@illinois.edu"
"48",19,1970,"Moncler","theNorthFace",15,"other","fake@hotmail.com"
"49",11,626,"Vetements","GoldenGooseDeluxe",93,"other","fake@gmail.com"
"50",9,1130,"Moncler","Chanel",80,"male","fake@gmail.com"
"51",7,2890,"Bape","Sputnik",9,"female","fake@hotmail.com"
"52",14,2504,"Burberry","Fendi",27,"other","pseudo@hotmail.com"
"53",10,904,"Moncler","Margiela",89,"other","fake@illinois.edu"
"54",14,107,"CanadaGoose","yvesSaintLauren",13,"other","fake@sputnik.net"
"55",16,1831,"Versace","GoldenGooseDeluxe",69,"female","fake@gmail.com"
"56",20,1526,"Versace","Chanel",62,"male","real@email.com"
"57",20,667,"Moncler","Fendi",21,"female","pseudo@illinois.edu"
"58",9,868,"Moncler","Chanel",76,"male","pseudo@email.edu"
"59",6,1562,"Maharishi","Margiela",66,"other","pseudo@email.edu"
"60",11,2870,"Moncler","theNorthFace",13,"female","real@email.com"
